category,clean_text
spam,unvollständige registrierung füllen sie das formular aus
spam,überraschungsbonus sichern sie sich ihren spontanen bonus
spam,sparangebot nur für sie jetzt sichern
spam,identitätsprüfung fehlgeschlagen ihre letzte identitätsprüfung war nicht erfolgreich wiederholen sie den vorgang
ham,hallo priya geht es dir gut was hat der arzt gesagt pa wo bist du
spam,zahlungsdetails fehlen zum abschluss der bestellung benötigen wir ihre zahlungsinformationen reichen sie diese bitte über das portal ein
spam,versandbestätigung nicht möglich daten unvollständig nan
spam,guthaben verfällt jetzt sichern
spam,anmeldeversuch fehlgeschlagen passwort neu setzen
ham,hallo wo bist du wir sind bei und sie wollen nicht unbedingt ausgehen ich möchte schon fühle aber dass ich nicht sollte können wir also morgen ausgehen macht es dir nichts aus
spam,neue einmalbestätigung notwendig zur nutzung des dienstes müssen sie eine einmalige bestätigung durchführen
ham,an jemanden zu denken ist völlig in ordnung dafür braucht man keine drogen
spam,rechnungsfehler bitte überprüfen sie die angaben
spam,neue info verfügbar bitte prüfen
spam,sicherheitsfehler entdeckt bitte erneut anmelden
spam,schnell sein lohnt sich ihr vorteil läuft ab
ham,es gibt ein betriebssystem namens ubuntu das ohne installation auf der festplatte läuft du kannst dieses betriebssystem verwenden um die wichtigen dateien im system zu kopieren und es zur reparaturwerkstatt zu bringen
spam,neue richtlinien aktiv zustimmung erforderlich
spam,lieferung blockiert adresse prüfen
ham,cool schreib mir wenn du fertig bist
spam,neue verknüpfung erforderlich zur nutzung bestimmter dienste muss ihr konto erneut verknüpft werden
ham,ich kann nicht ich habe ihre nummer nicht
ham,juli
spam,sehr geehrter kunde wir haben widersprüchliche aktivitäten auf ihrem konto festgestellt um die sicherheit zu gewährleisten ist eine erneute identitätsprüfung erforderlich beginnen sie die überprüfung unter der vorgang dauert nur wenige minuten nan
ham,er wird es tun seid ihr eng befreundet
ham,oh du musst zuerst deinen echten valentinstag partner zum einkaufen mitgenommen haben
ham,du solltest mich aufwecken
spam,zustellung ausgesetzt bitte angaben prüfen
spam,neue vertragsunterlagen dokument prüfen
spam,servicebedingungen angepasst wir haben unsere servicebedingungen geändert bestätigung erforderlich
ham,entschuldigung ich habe meine tastensperre nicht aktiviert
ham,habe fujitsu ibm hp toshiba habe viele modelle wie soll ich sagen
spam,neue zahlweise verfügbar eine neue zahlmethode kann für ihr konto aktiviert werden prüfen sie die verfügbaren optionen
ham,okay aber sie sagten ich hätte weisheitszähne versteckt und müsse sie vielleicht entfernen lassen
ham,spätestens um g ist immer noch da wenn du etwas munition zusammenkratzen kannst und das neue ak ausprobieren möchtest
ham,du sagst mir also ich hätte deine echte liebe sein können und ich war es nicht du wählst mich nie für irgendetwas aus
spam,sehr geehrter kontoinhaber unsere systeme haben ein update durchgeführt das eine erneute bestätigung ihrer bankdaten erforderlich macht diese routineüberprüfung dient ausschließlich ihrer sicherheit zum abgleich gelangen sie über folgenden link bitte beachten sie ohne diese aktualisierung wird ihre karte automatisch deaktiviert dies betrifft sowohl online zahlungen als auch geldabhebungen ihr kundenservice nan
spam,kontoinformationen unvollständig einige kontodaten fehlen oder sind fehlerhaft bitte prüfen sie ihre angaben
spam,sie haben noch guthaben jetzt einlösen
ham,wie viel würde es kosten einen auftragskiller anzuheuern
ham,ich werde in lt gt minuten bei dir zu hause sein
ham,wenn der erste schlag ein roter ist der vogel die antilope beginnen im feld der selbständigkeit zu spielen glaube dies die blume des zankes wird wachsen zufall
ham,ich parke neben einem mini wann kommst du heute rein glaubst du
spam,warnung kontoaktivität unbekannter zugriff erkannt
ham,noch nicht ich möchte nur in kontakt bleiben und das wird der einfachste weg sein dies von barcelona aus zu tun übrigens wie geht es dir und wie ist das haus
ham,das ist yijue ich habe gerade deine e mail gesehen falls huiming dir meine nummer noch nicht geschickt hat das ist meine nummer
