category,clean_text
spam,Unvollständige Registrierung Füllen Sie das Formular aus.
spam,Überraschungsbonus! Sichern Sie sich Ihren spontanen Bonus.
spam,Sparangebot nur für Sie Jetzt sichern.
spam,Identitätsprüfung fehlgeschlagen Ihre letzte Identitätsprüfung war nicht erfolgreich. Wiederholen Sie den Vorgang.
ham,hallo priya geht es dir gut was hat der arzt gesagt pa wo bist du
spam,Zahlungsdetails fehlen Zum Abschluss der Bestellung benötigen wir Ihre Zahlungsinformationen. Reichen Sie diese bitte über das Portal ein.
spam,Versandbestätigung nicht möglich – Daten unvollständig nan
spam,Guthaben verfällt Jetzt sichern.
spam,Anmeldeversuch fehlgeschlagen Passwort neu setzen.
ham,hallo wo bist du wir sind bei und sie wollen nicht unbedingt ausgehen ich möchte schon fühle aber dass ich nicht sollte können wir also morgen ausgehen macht es dir nichts aus
spam,Neue Einmalbestätigung notwendig Zur Nutzung des Dienstes müssen Sie eine einmalige Bestätigung durchführen.
ham,an jemanden zu denken ist völlig in ordnung dafür braucht man keine drogen
spam,Rechnungsfehler Bitte überprüfen Sie die Angaben.
spam,Neue Info verfügbar Bitte prüfen.
spam,Sicherheitsfehler entdeckt Bitte erneut anmelden.
spam,Schnell sein lohnt sich Ihr Vorteil läuft ab.
ham,es gibt ein betriebssystem namens ubuntu das ohne installation auf der festplatte läuft du kannst dieses betriebssystem verwenden um die wichtigen dateien im system zu kopieren und es zur reparaturwerkstatt zu bringen
spam,Neue Richtlinien aktiv Zustimmung erforderlich.
spam,Lieferung blockiert Adresse prüfen.
ham,cool schreib mir wenn du fertig bist
spam,Neue Verknüpfung erforderlich Zur Nutzung bestimmter Dienste muss Ihr Konto erneut verknüpft werden.
ham,ich kann nicht ich habe ihre nummer nicht
ham,juli
spam,"Sehr geehrter Kunde,

wir haben widersprüchliche Aktivitäten auf Ihrem Konto festgestellt.
Um die Sicherheit zu gewährleisten, ist eine erneute Identitätsprüfung erforderlich.

Beginnen Sie die Überprüfung unter:
https://ident-erneuern.com/start

Der Vorgang dauert nur wenige Minuten. nan"
ham,er wird es tun seid ihr eng befreundet
ham,oh du musst zuerst deinen echten valentinstag partner zum einkaufen mitgenommen haben
ham,du solltest mich aufwecken
spam,Zustellung ausgesetzt Bitte Angaben prüfen.
spam,Neue Vertragsunterlagen Dokument prüfen.
spam,Servicebedingungen angepasst Wir haben unsere Servicebedingungen geändert. Bestätigung erforderlich.
ham,entschuldigung ich habe meine tastensperre nicht aktiviert
ham,habe fujitsu ibm hp toshiba habe viele modelle wie soll ich sagen
spam,Neue Zahlweise verfügbar Eine neue Zahlmethode kann für Ihr Konto aktiviert werden. Prüfen Sie die verfügbaren Optionen.
ham,okay aber sie sagten ich hätte weisheitszähne versteckt und müsse sie vielleicht entfernen lassen
ham,spätestens um g ist immer noch da wenn du etwas munition zusammenkratzen kannst und das neue ak ausprobieren möchtest
ham,du sagst mir also ich hätte deine echte liebe sein können und ich war es nicht du wählst mich nie für irgendetwas aus
spam,"Sehr geehrter Kontoinhaber,

unsere Systeme haben ein Update durchgeführt, das eine erneute Bestätigung Ihrer Bankdaten erforderlich macht. Diese Routineüberprüfung dient ausschließlich Ihrer Sicherheit.

Zum Abgleich gelangen Sie über folgenden Link:
https://bank-verifizierung-service.com

Bitte beachten Sie: Ohne diese Aktualisierung wird Ihre Karte automatisch deaktiviert. Dies betrifft sowohl Online-Zahlungen als auch Geldabhebungen.

Ihr Kundenservice. nan"
spam,Kontoinformationen unvollständig Einige Kontodaten fehlen oder sind fehlerhaft. Bitte prüfen Sie Ihre Angaben.
spam,Sie haben noch Guthaben Jetzt einlösen.
ham,wie viel würde es kosten einen auftragskiller anzuheuern
ham,ich werde in lt gt minuten bei dir zu hause sein
ham,wenn der erste schlag ein roter ist der vogel die antilope beginnen im feld der selbständigkeit zu spielen glaube dies die blume des zankes wird wachsen zufall
