subject;body;label
Soundkarte macht Probleme;Hallo Support-Team, meine Soundkarte Model X43 spielt seit dem letzten Treiber-Update keinen Ton mehr ab. Neuinstallation hat nicht geholfen. Gruß, Sükran Heimann;Support
Angebot für Jahresabschluss Software;Hallo, könnten Sie mir ein Angebot für Ihre Jahrsabschluss-Software machen? Grüße, Jennii Holstein;Buchhaltung
Softwarefehler in Lectora Inspire;Hallo Support, Lectora Inspire öffnet sich nicht mehr nach dem letzten Update.;Support
Rechnungsfrage zur letzten Transaktion;"Sehr geehrte Damen und Herren,

beim Durchsehen meiner Unterlagen ist mir aufgefallen, dass die Rechnung zu meiner letzten Bestellung doppelt berechnet wurde. Bitte überprüfen Sie dies und stellen Sie eine korrigierte Rechnung aus.

Vielen Dank,
Tobias Seifert";Buchhaltung
Feature-Wunsch für 'Image Recognition';Sehr geehrte Damen und Herren, könnte die Software 'Image Recognition' um eine Funktion zur automatischen Klassifikation von Schadensbildern erweitert werden? Das wäre sehr hilfreich. Danke!;Support
Frage zum Netfirms Software-Produkt;Sehr geehrte Damen und Herren, ich nutze Ihre Netfirms-Software und habe Probleme mit der Synchronisation meiner Dateien. Es scheint, als ob einige Dateien nicht korrekt gespeichert werden. Können Sie mir bitte weiterhelfen? Herzlichen Dank, Hans Zimmer;Support
Dringende Anfrage zur Gehaltsabrechnung für Mai 2023;"Sehr geehrter Kundensupport,
ich habe ein dringendes Problem mit meiner Gehaltsabrechnung für Mai 2023. Der Betrag ist nicht korrekt überwiesen worden und ich benötige sofort eine Klärung und Korrektur. Bitte kontaktieren Sie mich umgehend unter meiner Mitarbeiter-ID 482019. Für Rückfragen stehe ich Ihnen jederzeit zur Verfügung.
Mit freundlichen Grüßen,
Heike Steinmann";Buchhaltung
Mitarbeiteranfrage: Arbeitsrecht - Rechtsberatung benötigt;"Sehr geehrtes Buchhaltungsteam, 
Ich habe eine rechtliche Frage bezüglich meiner Arbeitszeiten und deren Übersicht hinsichtlich des Arbeitsrechts. Könnten Sie mir Informationen oder eine Ansprechpartner nennen, der sich genau mit diesen Fragen auskennt, um Missverständnisse zu vermeiden? 
Mit freundlichen Grüßen, 
Anouk Timm";Buchhaltung
Dringende Klärung zur Rechnung RE45781203;Sehr geehrte Damen und Herren, ich habe bei meinem letzten Kauf die Rechnung RE45781203 erhalten. Nach Überprüfung sind mir mehrere Unstimmigkeiten aufgefallen, die ich dringend klären muss, da ich die richtigen Beträge für die Buchhaltung brauche. Bitte um schnellen Rückruf. Mit freundlichen Grüßen, Hans Jürgen Strauch;Buchhaltung
Dienstwagenabrechnung Januar 2023;"Sehr geehrte Damen und Herren,
ich benötige detaillierte Informationen über die Abrechnung des Dienstwagens für den Monat Januar 2023. Bitte senden Sie mir eine Aufstellung und eventuelle Rückfragen bezüglich der Spesen.
Vielen Dank.
Jakob Rott";Buchhaltung
Drupal – Kategorie ändern nicht möglich;Sehr geehrte Damen und Herren, bei meinem Drupal-System tritt der Fehler auf, dass Kategorien nicht gespeichert werden. Dies verursacht größere Probleme beim Verwalten des Inhalts. Eine schnelle Lösung wäre sehr wünschenswert. Freundliche Grüße, Reinhardt Müller;Support
Anfrage wegen Update-Fehler in Shopware;"Hallo Kundensupport,

ich nutze die Software Shopware für meinen Online-Shop und habe beim letzten Update einen Fehler festgestellt. Die Plugin-Verknüpfungen funktionieren nicht mehr korrekt und ich benötige Unterstützung, um das Problem zu beheben.

Mit freundlichen Grüßen,
Verena Koch";Support
Anfrage zur Anpassung der Gehaltsabrechnung;Sehr geehrte Damen und Herren, aufgrund meiner kürzlichen Beförderung bitte ich um eine Anpassung meiner Gehaltsabrechnungen. Könnten Sie außerdem die Adresse aktualisieren? Alte: Lindenweg 12, 30159 Hannover, Neue: Sonnenstraße 5, 30519 Hannover. Vielen Dank!;Buchhaltung
Rechnungsfrage zur Buchung #B12345;"Sehr geehrte Damen und Herren,
meine letzte Rechnung mit der Buchungsnummer #B12345 hat einige Positionen, die ich nicht nachvollziehen kann. Könnten Sie diese bitte überprüfen und mir eine Erläuterung schicken?
Vielen Dank im Voraus,
Hannah Schulze";Buchhaltung
Frage zur neuen Unternehmens-Buchhaltungsrichtlinie;Guten Tag, könnten Sie bitte die neue Buchhaltungsrichtlinie erläutern? M.f.G, Евгений Sattler;Buchhaltung
Installation des neuen Scanners – Probleme und Hilfe benötigt;Hallo, mein neuer Scanner wurde geliefert, aber beim Versuch der Installation gibt es Fehlermeldungen. Bräuchte eure Unterstützung, um das Gerät korrekt einzurichten.;Support
Hilfestellung bei GitHub Funktionen notwendig;Sehr geehrtes Support-Team, ich nutze derzeit GitHub für ein privates Projekt und habe Schwierigkeiten mit den spezifischen Funktionen des Branch Merge. Könntet Ihr mir genauso freundlich behilflich sein und Beispiele oder Guides liefern, wie genau der Merge konfiguriert werden soll? Vielen Dank im Voraus! Freundliche Grüße, Diethelm Stricker;Support
Frage wegen VR Headset;"Hallo Kundensupport,

Ich habe mein VR Headset vor zwei Wochen bei Ihnen gekauft. Jetzt habe ich ein kleines Problem: das Bild hat manchmal Aussetzer und ruckelt. Könnten Sie mir sagen, ob es ein bekanntes Problem ist? Dankeschön!

Beste Grüße,
Inge Jäger";Support
Problem mit Google Cloud Console;Sehr geehrtes Support-Team, ich nutze eure Software Google Cloud Console und stelle fest, dass bestimmte APIs seit dem letzten Update nicht korrekt funktionieren. Könntet ihr bitte den Status dieser APIs überprüfen und mir ein Update dazu geben? Ich habe wichtige Projekte, die sofortige Aufmerksamkeit auf Fehlerfreiheit brauchen. Vielen Dank im Voraus für Ihre Unterstützung. Mit freundlichen Grüßen, Günther Müller;Support
Proximity Sensor - Frage zum Update;Kann ich ein Update für meinen Sensor bekommen?;Support
Mitarbeiteranfrage: Softwareproblem;Sehr geehrtes Support-Team, eine unserer Mitarbeiterinnen, Frau Agnieszka Zöller, hat ein Problem mit ihrer Arbeitssoftware „TechPro Pro 10.2”. Sie meldete vermehrte Abstürze und Datenverlust. Für eine unkomplizierte Abwicklung bitten wir um eure rasche Unterstützung. Vielen Dank im Voraus! ;Buchhaltung
Zugriffsrechte für Mitarbeiterkonto;Hallo Kundensupport, ich benötige dringend Zugriff für mein Mitarbeiterkonto in unserem IT-System. Ohne die entsprechenden Rechte kann ich aktuell meine tägliche Arbeit nicht effizient ausführen. Bitte gewährt mir die notwendigen Berechtigungen so schnell wie möglich. Vielen Dank, Hase Jürgen;Buchhaltung
Frage zu Cubase Pro 11 - Zwischenspeichern;"Sehr geehrte Damen und Herren,
ich habe eine kleine Frage zu Cubase Pro 11. Mir ist aufgefallen, dass beim Zwischenspeichern meiner Projekte es zu minimalen Verzögerungen kommt. Das beeinträchtigt mein Arbeiten generell nicht groß, aber ich wollte wissen, ob das normal ist oder ob es eine Einstellung gibt, die dies verhindern kann. Mit freundlichen Grüßen, Egon Edelmann";Support
Dringende Hilfe bei Zahlungsbestätigung für letzten Auftrag;Sehr geehrte Damen und Herren, mein Name ist Josua Mueller, und ich habe noch keine Zahlungsbestätigung für den Auftrag mit der Bestellnummer 547820 erhalten. Ich benötige diese Bestätigung dringend, da ich diese für meine Buchhaltung und deren Abschluss übergeben muss. Die Transaktion wurde am 5. Oktober durchgeführt. Warum dauert es so lange? Ansonsten müssen wir möglicherweise unser Engagement überdenken.;Buchhaltung
HIPAA Compliance - Akkuter Datenverlust nach Update;Sehr geehrte Damen und Herren, nach dem letzten Update unserer HIPAA-Compliance-Software sind plötzlich alle unsere Gesundheitsdaten verschwunden. Dieser Verlust ist absolut unverantwortlich und gefährdet unseren Betrieb. Bitte setzen Sie sich umgehend mit mir in Verbindung, um dieses Problem schnellstmöglich zu lösen. Mit freundlichen Grüßen, Aytac Heidenreich;Support
