subject;body;label
"Anfrage Angebotskonditionen";"Sehr geehrtes Team, wir benötigen ein unverbindliches Angebot für 150 Headsets für unseren Außendienst. Bitte senden Sie uns zusätzlich Informationen zu Lieferzeiten und möglichen Mengenrabatten. Vielen Dank.";Vertrieb
"Preisübersicht für Lizenzverlängerung";"Hallo, wir planen die Verlängerung unserer Softwarelizenzen für das kommende Jahr. Können Sie uns eine aktuelle Preisübersicht inkl. Upgrade-Möglichkeiten zukommen lassen?";Vertrieb
"Rückfrage zur Rabattstaffel";"Guten Tag, ich hätte gern Details zur Rabattstaffel bei Abnahme von über 300 Einheiten Ihres Produkts. Besonders interessiert uns, ab welcher Menge der höchste Rabatt greift.";Vertrieb
"Material für Neukundenaktion";"Hallo Vertriebsteam, für unsere Neukundenaktion benötigen wir Werbematerial, Flyer und digitale Grafiken. Bitte senden Sie uns die verfügbaren Vorlagen.";Vertrieb
"Terminvorschlag für Produktdemo";"Sehr geehrte Damen und Herren, wir möchten eine Live-Demo Ihres CRM-Systems sehen. Haben Sie Termine frei in der nächsten Woche?";Vertrieb
"Angebot für Jahresvertrag";"Hallo, wir planen langfristig mit Ihrem Service. Können Sie uns ein Angebot für einen Jahresvertrag inkl. Service-Level-Agreement erstellen?";Vertrieb
"Anfrage internationale Lieferung";"Guten Tag, wir haben einen neuen Kunden in Österreich und benötigen Informationen zum internationalen Versand Ihrer Produkte.";Vertrieb
"Produktkatalog 2025";"Sehr geehrtes Vertriebsteam, bitte senden Sie uns den vollständigen Produktkatalog 2025 in digitaler Form zu.";Vertrieb
"Lead-Informationen benötigt";"Hallo, wir haben einen vielversprechenden Lead aus dem Energiesektor. Bitte stellen Sie uns alle relevanten Unterlagen bereit, um ein Angebot zu formulieren.";Vertrieb
"Rückfrage zu Testphase";"Guten Tag, wann endet unsere Testphase und welche Optionen haben wir für die Umwandlung in ein kostenpflichtiges Paket?";Vertrieb
"Anforderung Verkaufsunterlagen";"Hallo, ich benötige die aktuellen Präsentationen und Preisblätter für unsere nächsten Kundentermine.";Vertrieb
"Kooperation mit Partnerfirma";"Sehr geehrte Damen und Herren, unsere Partnerfirma interessiert sich für ein gemeinsames Vertriebspaket. Können wir hierzu ein Gespräch planen?";Vertrieb
